,City,Street,Floor,NumOfRooms,Size(SQM),Type,Price(₪)
3737, חיפה,ישורון,2,4.0,90,דירה,2770000
3738, מודיעין מכבים רעות,כסלו,2,4.0,117,דירה,2880000
3739, ירושלים,חיים נחמן ביאליק,0,4.0,85,דירת גן,3900000
3740, כפר סבא,פרופ' דינור,2,3.5,106,דירה,2690000
3741, רמת גן,דרך אבא הלל,3,2.0,35,דירה,1870000
3742, נתניה,אהוד מנור,13,5.0,165,דירה,5500000
3744, בת ים,דרך בן גוריון 138,11,1.0,36,דירה,1200000
3748, רחובות,בתיה מקוב 25,5,5.0,125,דירה,3400000
3749, אור יהודה,חיים ברלב 6,3,4.0,123,דירה,2850000
3750, רמלה,מאיר בר אילן 24,3,3.0,60,דירה,1490000
3751, אופקים,גיבורי ישראל 4,2,4.0,76,דירה,1000000
3752, ערד,חרוב 11,2,3.0,90,דירה,850000
3753, תל אביב יפו,הקשת 23,2,5.0,114,דירה,3900000
3754, אשדוד,ענבים 4,10,4.0,142,דירה,2950000
3755, חולון,מניה וישראל שוחט 13,2,3.0,62,דירה,1835000
3756, חיפה,שדרות דגניה 54,3,2.5,54,דירה,1300000
3757, בית שמש,הגולן 7,2,4.0,95,דירה,2150000
3758, חיפה,נוי 12,2,4.0,110,דירה,2500000
3759, חדרה,שדרות אלכסנדר 8,3,5.0,140,דירה,2950000
3760, לוד,יעקב פלומניק 4,1,4.0,110,דירה,1700000
3761, חיפה,יוסף 49,2,2.5,75,דירה,950000
3762, לוד,סחלב 5,3,4.0,100,דירה,1450000
3763, ירושלים,אגריפס 64,2,2.0,51,דירה,1050000
3764, בני ברק,דב הוז 20,1,4.0,110,דירה,2520000
3765, תל אביב יפו,אבן גבירול,3,2.0,36,דירה,3300000
3766, קרית ביאליק,לוחמי הגטאות,5,4.0,95,דירה,1245000
3767, הרצליה,פנחס רוזן,5,6.0,282,גג/פנטהאוז,7600000
3768, רמת גן,דרך זאב ז'בוטינסקי,10,4.0,135,דירה,4500000
3769, ירושלים,אליעזר קשאני 45,1,4.0,120,דירת גן,3000000
3770, תל אביב יפו,הצפון הישן - דרום,0,4.0,80,דירת גן,4350000
3771, רחובות,"שדרות ח""ן",4,5.0,220,גג/פנטהאוז,4100000
3772, תל אביב יפו,רמז,22,6.0,500,דירה,34000000
3773, תל אביב יפו,יהושע בן נון,4,4.0,85,דירה,6350000
3774, רעננה,וייצמן,4,4.0,120,דירה,3540000
3775, תל אביב יפו,דניאל,0,3.0,82,דירה,4550000
3776, ירושלים,שלמה צמח,2,3.0,75,דירה,2920000
3777, יבנה,הדרור,5,5.0,112,דירה,2150000
3778, תל אביב יפו,וייצמן,3,3.0,80,דירה,4970000
3779, חולון,יוסף אהרונוביץ',5,4.0,104,דירה,2650000
3780, רמת גן,קריניצי,4,5.0,112,דירה,3980000
3781, ראשון לציון,אמזלג,6,3.5,83,דירה,2190000
3782, נשר,אביר יעקב,2,4.5,160,דירה,1340000
3783, חיפה,סירקין,3,3.5,75,דירה,875000
3784, רחובות,משה סמילנסקי,0,3.5,100,דירה,2200000
3785, חיפה,הרצל 103,0,1.0,38,יחידת דיור,479998
3786, רעננה,הנשיאים 45,2,4.0,108,דירה,3500000
3787, תל אביב יפו,הס 5,3,3.0,78,דירה,5500000
3788, אור עקיבא,איסר הראל 6,3,5.0,110,דירה,2300000
3789, חדרה,יצחק בן צבי 51,1,5.0,160,דופלקס,2300000
3790, באר שבע,שדרות יוהנה ז'בוטינסקי 4,4,3.0,133,דירה,1320000
3791, קרית אתא,הנביאים 67,2,5.0,212,גג/פנטהאוז,2500000
3792, ירושלים,המחנכת 7,4,6.5,212,גג/פנטהאוז,4950000
3793, כפר יונה,צבעוני 5,1,4.0,116,דירה,2630000
3794, חולון,"הגר""א 22",3,4.0,85,דירה,1980000
3795, קרית שמונה,תל חי 83,5,1.0,25,דירה,699000
3796, בת ים,מנדלי מוכר ספרים 4,4,4.0,82,דירה,1800000
3797, קרית גת,הנרייטה סאלד 6,1,4.0,112,דירה,1850000
3798, ראש העין,ג'ון קנדי 36,2,3.0,100,דירה,2075000
3799, אפרת,בית הבחירה 8,0,5.0,130,דירה,3150000
3800, קרית שמונה,חרצית 5,6,4.0,113,דירה,1300000
3801, מודיעין עילית,חזון דוד 5,0,3.0,83,דירה,2400000
3802, רמת גן,פנחס רוטנברג 37,3,4.0,106,דירה,3500000
3803, חיפה,מדרגות שוקרי 12,1,3.5,80,דירה,910000
3804, תל אביב יפו,תל אביב יפו,3,2.5,48,דירה,3300000
3805, תל אביב יפו,ליאונרדו דה וינצ'י 1,18,5.0,120,דירה,8200000
3806, הוד השרון,מגדיאל,4,3.5,109,דירה,2920000
3807, רעננה,התבור,7,5.0,120,גג/פנטהאוז,4490000
3808, תל אביב יפו,וורמייזה,1,2.5,65,דירה,3980000
3809, גבעתיים,דרך יצחק רבין,1,4.0,149,דירת גן,3950000
3810, רמת גן,האלוף נחמיה תמרי,4,5.0,142,דירה,3650000
3811, תל אביב יפו,מאיר יערי,2,4.0,100,דירה,5900000
3812, רחובות,החלוץ,2,3.0,81,דירה,1770000
3813, הוד השרון,חיים הרצוג,4,5.0,128,דירה,4470000
3814, בת ים,מנדלי מוכר ספרים,2,3.0,80,דירה,1680000
3815, תל אביב יפו,שדרות לוי אשכול,18,5.0,146,דירה,8400000
3816, חולון,משה הס,3,4.0,90,דירה,2700000
3817, קיסריה,קיסריה,3,4.0,119,דירה,3350000
3818, רמלה,מאיר בר אילן,0,5.0,101,דירת גן,1925000
3819, ירושלים,ירושלים,2,4.0,90,דירה,3080000
3820, תל אביב יפו,תל אביב יפו,1,2.5,46,דירה,1500000
3821, תל אביב יפו,רביבים,0,8.0,580,דירת גן,7950000
3822, נתניה,נתניה,7,4.0,104,דירה,3300000
3823, ירושלים,עמנואל זיסמן,5,4.0,95,דירה,2670000
3824, חיפה,קיסריה,0,1.0,30,מרתף/פרטר,295000
3825, אשקלון,נווה שלום 22,3,4.0,107,דירה,1500000
3826, חיפה,הגדוד העברי 13,3,4.0,120,דירה,1230000
3827, תל אביב יפו,אליפלט 26,12,2.0,58,דירה,3850000
3828, יקנעם עילית,המפל 40,1,4.0,110,דירה,2070000
3829, ירושלים,שדרות משה דיין 56,2,4.0,110,דירה,2399000
3830, ירושלים,המחנכת 64,5,5.0,145,גג/פנטהאוז,3420000
3831, ערד,תפוח 3,4,4.0,100,דירה,1005000
3832, עכו,יוסף גדיש 23,1,6.0,380,דירה,1990000
3833, טבריה,טבור הארץ 25,7,6.0,320,גג/פנטהאוז,2750000
3834, פתח תקווה,יעל רום 12,19,5.0,125,דירה,3800000
3835, בית שמש,יואל הנביא 22,0,5.0,125,דירה,2500000
3836, נצרת עילית / נוף הגליל,כליל החורש 18,1,5.0,240,דירה,3200000
3837, אשקלון,שדרות מנחם בגין 21,1,4.5,90,דירת גן,2200000
3838, תל אביב יפו,זלמן שניאור 4,6,3.0,77,דירה,5250000
3839, עכו,האתרוג 3,1,4.5,145,דירת גן,1500000
3840, ערד,אלעזר בן יאיר 61,2,3.0,84,דירה,740000
3841, רמת גן,מנדס 61,4,4.0,120,דירה,4500000
3842, חיפה,מסדה 23,0,4.5,100,דירת גן,1720000
3843, תל אביב יפו,"גני שרונה, קרית הממשלה",5,4.0,123,דירה,8900000
3844, הוד השרון,הוד השרון,1,6.0,290,דירת גן,6900000
3845, קרית גת,קרית גת,1,3.0,75,דירה,1000000
3846, מודיעין מכבים רעות,הכרמים,2,3.0,75,דירה,2390000
3847, תל אביב יפו,ברנשטיין כהן 6,1,2.0,71,דירה,3750000
3848, צפת,העיר העתיקה,2,5.0,145,דירה,2600000
3849, אשקלון,יעקב מרידור 1,7,4.0,111,דירה,1750000
3850, רעננה,"הל""ה",1,5.0,150,דירה,3950000
3851, צור יצחק,נחל פולג,4,4.0,121,דירה,2220000
3852, ראשון לציון,תורה ועבודה,0,2.0,50,דירה,1690000
3853, נתניה,יהודה הלוי 56,3,4.0,105,דירה,2300000
3854, תל אביב יפו,תל אביב יפו,20,4.0,91,דירה,6300000
3855, תל אביב יפו,שפרינצק,3,2.5,58,דירה,3360000
3856, קרית טבעון,היסמין,2,3.0,78,דירה,1450000
3857, רמת גן,רמת גן,6,5.0,126,גג/פנטהאוז,3750000
3858, חיפה,יואב,7,3.5,84,דירה,1380000
3859, ראש העין,עופרה חזה,10,5.0,124,דירה,2980000
3860, תל אביב יפו,רמת אביב ג',3,4.0,95,דירה,5500000
3862, רעננה,נווה זמר,1,4.0,92,דירה,3900000
3864, שדרות,דרך מנחם בגין 106,4,5.0,147,דירה,1920000
3865, מעלות תרשיחא,חרמון 6,8,3.0,106,דירה,1680000
3866, תל אביב יפו,"ציהתל""י 16",0,4.0,123,דירת גן,4290000
3867, חיפה,חביבה רייק 51,8,6.0,210,גג/פנטהאוז,2620000
3868, נשר,החצב 14,2,4.0,95,דירה,1500000
3869, בת ים,ירושלים 44,0,2.5,66,דירה,1820000
3870, אופקים,צאלון 11,0,5.0,180,טריפלקס,2300000
3871, חולון,גבעת התחמושת 14,5,4.0,100,דירה,2420000
3872, פתח תקווה,חיים כהן 2,5,5.0,137,דירה,2730000
3873, גני תקווה,המצפה 13,1,4.5,120,דירה,3050000
3874, ירושלים,שושן 4,0,7.0,170,סטודיו/לופט,2900000
3875, הוד השרון,ידידות 10,1,4.0,109,דירה,4190000
3876, ערד,שיזף 8,1,4.0,139,דירה,1150000
3877, תל אביב יפו,הגיבור האלמוני 50,1,4.0,80,דירה,3450000
3878, בית שמש,בן אליעזר 8,7,4.0,92,דירה,1930000
3879, טבריה,ירושלים 7,2,3.5,120,דירה,1000000
3880, ראשון לציון,החפץ חיים 9,4,3.5,85,דירה,1950000
3881, ראש העין,שדרות בן גוריון 5,0,4.0,173,דירת גן,3450000
3882, תל אביב יפו,גורדון,3,3.0,100,דירה,5300000
3883, גבעתיים,כצנלסון,1,3.0,75,דירה,2500000
3884, רמת גן,רמת גן,1,2.5,61,דירה,2100000
3885, רמת גן,אמנון ותמר,1,5.0,120,דירה,3460000
3886, לוד,יוברט המפרי,6,3.5,80,דירה,1390000
3887, רחובות,"חזון אי""ש 20",2,5.0,134,דירה,2850000
3888, פתח תקווה,"חזון אי""ש 3",2,4.0,100,דירה,2290000
3889, באר שבע,עוזי נרקיס,1,4.0,117,דירה,1430000
3890, רמת השרון,רמת השרון,11,5.0,142,דירה,4800000
3891, אשדוד,הנורית,6,4.0,130,דירה,2570000
3892, מודיעין מכבים רעות,נופים,4,4.0,145,דירה,3390000
3893, רעננה,בורוכוב,0,5.0,275,דירת גן,5880000
3894, רמת השרון,אוסישקין,2,4.5,133,גג/פנטהאוז,3890000
3895, חולון,שפרינצק,0,1.0,23,דירה,790000
3896, תל אביב יפו,גרציאני יצחק,35,4.0,102,דירה,5100000
3897, תל אביב יפו,כוכב הצפון,2,4.0,100,דירה,8100000
3898, צפת,יצחק רבין,0,3.0,90,דירת גן,1290000
3899, תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",1,4.0,103,דירה,4300000
3901, תל אביב יפו,נגבה 21,5,4.0,96,דירה,3623000
3902, נתניה,"זלמן שז""ר 28",3,4.0,117,דירה,3285000
3903, קרית גת,נחל גוברין 4,0,3.0,170,דירת גן,2236000
3904, טבריה,"רמח""ל 17",0,4.0,280,דירת גן,1520000
3905, רחובות,הר הצופים 9,0,4.0,180,דירת גן,3750000
3906, קדימה צורן,שדרות יצחק רבין 13,4,5.0,135,דירה,3300000
3907, קרית גת,היסמין 10,2,4.0,100,דירה,1850000
3908, חיפה,מרגלית 11,4,4.0,115,דירה,3350000
3909, קרית מוצקין,"רנ""ס 9",1,4.0,120,דירה,1400000
3910, הרצליה,שלום רוזנפלד 5,4,4.0,120,דירה,4700000
3911, באר שבע,יצחק רגר 125,4,4.0,65,דירה,1190000
3912, נס ציונה,הטייסים 4,5,4.0,112,דירה,2960000
3913, ירושלים,אריה ורשבסקי 1,17,4.5,112,דירה,2850000
3914, לוד,לאה אמנו 16,0,7.0,260,דירת גן,3600000
3915, אשדוד,מקלנבורג 10,0,4.0,100,דירת גן,2200000
3916, בת ים,יחזקאל דנין 18,3,3.5,78,דירה,2000000
3917, קרית גת,הנרייטה סאלד 67,3,4.0,100,דירה,1980000
3918, עכו,יוסף גרשון 443,8,3.0,77,דירה,750000
3919, רחובות,אהרון שקולניק 7,8,7.0,400,גג/פנטהאוז,4400000
3920, תל אביב יפו,חפץ חיים 16,3,3.0,75,דירה,3750000
3921, רחובות,דרך יבנה,2,4.0,108,דירה,2850000
3922, רעננה,הר סיני,3,6.0,180,גג/פנטהאוז,5500000
3923, תל אביב יפו,עזה,1,4.0,103,דירה,4300000
3924, רמת גן,"שכונת בן גוריון, מרכז העיר ג'",9,5.0,230,גג/פנטהאוז,5950000
3925, ראשון לציון,מיכאל סיטרמן,4,5.0,130,דירה,4080000
3926, רמת גן,רמת חן,1,3.0,48,דירה,4400000
3927, נתניה,דוד המלך 23,8,4.5,136,דופלקס,3900000
3928, יבנה,הזמיר 6,7,4.0,210,גג/פנטהאוז,2950000
3929, רמת גן,"הרא""ה",2,2.5,65,דירה,2190000
3930, רחובות,אליעזר בן יהודה 5,2,5.0,116,דירה,2690000
3931, חולון,היינץ כהן,19,5.0,130,דירה,4050000
3932, תל אביב יפו,ניסים אלוני,28,4.5,153,דירה,9100000
3934, חולון,צבי תדמור,3,5.0,126,דירה,3650000
3935, תל אביב יפו,ישראל גלילי,4,5.0,120,דירה,6000000
3936, רמת גן,רמת גן,6,4.0,100,דירה,3350000
3937, פתח תקווה,המרכז השקט / מרכז העיר,3,3.5,93,דירה,1899999
3938, תל אביב יפו,הצפון החדש - כיכר המדינה,7,5.0,243,גג/פנטהאוז,20000000
3939, באר שבע,מבצע עובדה,3,3.0,76,דירה,740000
3941, חיפה,שער הגיא 25,2,5.0,120,דירה,2470000
3942, בת ים,פרלשטיין 31,5,3.0,90,דירה,2200000
3943, רמת גן,קרסקי 6,7,4.0,101,דירה,3690000
3944, ירושלים,"מבוא הנח""ל 4",2,5.0,130,דירה,3960000
3945, בית שמש,ישעיהו הנביא 3,4,4.0,115,דירה,2690000
3946, חיפה,משה בילינסון 22,0,5.0,335,דירת גן,2400000
3947, אשקלון,שדרות הציונות 86,8,5.0,140,דירה,2300000
3948, פרדס חנה כרכור,גינת אגוז 1,10,4.0,110,דירה,2350000
3949, ירושלים,חוזה סן מרטין 32,4,3.0,72,דירה,2290000
3950, טבריה,שלמה המלך 3,2,6.0,184,דירה,1650000
3951, בני ברק,רבי עקיבא 20,0,5.0,100,דירת גן,2970000
3952, טבריה,מורן 14,10,5.5,330,גג/פנטהאוז,3500000
3953, נתיבות,יוסף אבו 1,7,5.0,140,דירה,1670000
3954, הרצליה,שמואל הנגיד 14,3,4.5,96,דירה,3350000
3955, תל אביב יפו,אוסישקין 4,7,4.0,202,גג/פנטהאוז,19990000
3956, ביתר עילית,רבי עקיבא 44,1,4.0,130,דירה,2590000
3957, רחובות,כובשי החרמון 13,5,3.0,85,דירה,1740000
3958, מודיעין עילית,"חזון אי""ש 27",0,4.0,127,דירה,2170000
3959, אופקים,פרי מגדים 117,0,5.0,140,דירת גן,1400000
3960, בית שאן,בית שאן,2,3.0,92,דירה,930000
3962, תל אביב יפו,הרב ניסים 9,28,4.5,153,דירה,9100000
3963, תל אביב יפו,אלכסנדר סשה ארגוב 17,3,4.0,109,דירה,4750000
3964, רמת גן,"מרום נוה, רמת יצחק",3,3.0,70,דירה,2390000
3965, נס ציונה,משה לרר,1,5.0,130,דירה,4290000
3966, ראשון לציון,הגאון מוילנה,4,3.5,90,דירה,2020000
3967, מעלה אדומים,מבוא הגבים 28,3,3.0,87,דירה,1690000
3968, ראשון לציון,האחים זייגר 6,0,2.5,70,דירה,1990000
3969, אשדוד,העצמאות,7,6.0,140,דופלקס,3490000
3971, ירושלים,ירושלים,1,2.0,38,דירה,1950000
3972, בת ים,בלפור 146,1,2.0,55,דירה,1750000
3973, תל אביב יפו,"מזא""ה",5,3.5,90,דירה,6900000
3974, קרית גת,קרית גת,12,4.0,112,דירה,1920000
3975, חיפה,פרץ מרקיש,2,3.0,75,דירה,960000
3976, ערד,שמעון,8,4.0,100,דירה,910000
3977, מודיעין מכבים רעות,עמק האלה,1,4.0,108,דירה,2790000
3978, כפר סבא,הזמר העברי,3,5.0,166,דירה,4100000
3979, קרית אונו,קיראון,3,5.0,125,דירה,3800000
3980, ראש העין,יפה ירקוני,3,3.0,115,דירה,2620000
3982, קרית ים,תבור 14,1,3.0,70,דירה,1100000
3983, קרית שמונה,עין זהב 19,1,3.0,65,דירה,800000
3984, ירושלים,בורוכוב 43,2,3.0,52,דירה,2500000
3985, בני ברק,"ד""ר נתן בירנבוים 9",2,3.5,70,דירה,2200000
3986, באר שבע,דרך המשחררים 26,5,5.0,128,דירה,1490000
3987, דימונה,רבי נחמן מאומן 5,5,4.0,112,דירה,1362000
3988, אורנית,הזית 77,0,6.0,220,דירה,3700000
3989, ירושלים,רבקה 34,4,3.0,60,דירה,2300000
3990, ראשון לציון,"חב""ד 20",3,4.5,95,דירה,2100000
3991, עכו,דרך הים 1,3,5.0,140,גג/פנטהאוז,1750000
3992, באר שבע,הרב הרצוג 49,7,4.0,93,דירה,930000
3993, נצרת עילית / נוף הגליל,חרוד 1,3,3.0,60,דירה,750000
3994, רמלה,עוזי חיטמן 23,2,4.5,126,דירה,2420000
3995, עלי זהב,אלה 14,3,5.0,191,דירת גן,2600000
3996, באר שבע,העלייה 13,2,3.0,70,דירה,730000
3997, רמת גן,הררי 11,2,4.0,95,דירה,2850000
3998, רחובות,יעקב תמרי 8,15,4.0,106,דירה,2520000
4000, קרית גת,נחל ירקון,18,3.0,85,דירה,1740000
4001, אשדוד,"רובע י""א",3,4.0,110,דירה,2200000
4002, רעננה,רעננה,0,3.5,105,דירת גן,3500000
4003, נהריה,הרצל,2,4.5,116,דירה,1625000
4004, רמת השרון,רמת השרון,2,4.0,100,דירה,3900000
4005, ראש העין,יונתן רטוש,5,5.0,126,דירה,3030000
4006, אשקלון,הסיטי,4,5.0,137,דירה,2200000
4009, גני תקווה,הכרמל 6,13,5.5,146,דירה,4350000
4010, תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",10,4.0,350,גג/פנטהאוז,12850000
4011, אור עקיבא,שדרות דוד המלך,6,4.0,78,גג/פנטהאוז,1590000
4012, נתניה,מקדונלד 18,2,4.0,100,דירה,2150000
4013, כפר סבא,ברנר,4,6.0,200,גג/פנטהאוז,5750000
4014, קרית ביאליק,ביאליק דרום,2,2.0,40,דירה,590000
4015, קרית אתא,סמטת יאיר,0,2.0,50,דירת גן,780000
4016, נשר,הנוריות,2,4.0,95,דירה,1595000
4017, הרצליה,הרצליה,7,3.0,58,דירה,5600000
4018, תל אביב יפו,ליאונרדו דה וינצ'י 3,17,5.0,135,דירה,7500000
4019, רמת גן,לאן,1,4.0,100,דירה,2750000
4020, מודיעין מכבים רעות,עמק החולה 1,1,8.0,130,דירה,3600000
4021, בני ברק,חברון 15,0,4.0,70,דירה,2200000
4022, באר שבע,חנה סנש 19,3,2.0,56,דירה,670000
4023, רמת גן,העמל 33,1,4.0,85,דירה,3500000
4024, תל אביב יפו,מיטב 5,2,4.0,125,דירה,4500000
4025, אשדוד,שדרות תל חי 17,2,4.0,131,דירה,2750000
4026, מזכרת בתיה,שדרות רפאל סויסה 6,1,4.0,110,דירה,3100000
4027, נתיבות,יצחק שמיר 1,9,5.0,130,גג/פנטהאוז,2550000
4028, רמת גן,פני הגבעה 22,0,2.0,64,דירה,2650000
4029, עפולה,קרן היסוד 16,6,5.0,220,גג/פנטהאוז,1650000
4030, גבעתיים,אנצו סירני 32,3,5.0,98,דירה,3100000
4031, אשקלון,יהודה הלוי 15,1,3.0,150,דירה,1050000
4032, רחובות,טובה וטוביה מילר 13,1,3.0,85,דירה,1990000
4033, ראשון לציון,שולמית אלוני 1,10,3.0,84,דירה,2850000
4034, ראשון לציון,אסא 6,2,4.0,110,דירה,2700000
4035, רמת השרון,חטיבת אלכסנדרוני 5,4,4.0,100,דירה,3550000
4036, חולון,שדרות דב הוז 12,3,3.0,65,דירה,1690000
4037, תל אביב יפו,הרב יצחק ידידיה פרנקל 67,1,3.0,60,דירה,3300000
4038, זכרון יעקב,זכרון יעקב,1,4.0,83,דירה,1800000
4039, כרמיאל,קטיף,1,3.0,101,דירה,1530000
4040, מעלה אדומים,נופי סלע,3,4.0,121,דירה,2300000
4041, תל אביב יפו,שדרות בן גוריון,2,3.0,78,דירה,7000000
4042, ירושלים,גילה,2,4.0,95,דירה,2270000
4043, קרית גת,נתן אלבז 9,4,4.0,130,דירה,1860000
4044, רחובות,דרך בן גוריון,3,5.0,135,דירה,2800000
4045, רעננה,"קרית שז""ר",9,4.0,230,דופלקס,5300000
4046, ראש העין,נחשול,2,5.0,148,דירה,3000000
4047, באר שבע,נחום סנה,2,5.0,156,דירה,1750000
4048, נשר,נשר,9,4.5,91,דירה,1690000
4049, אור יהודה,החצב,4,3.5,80,דירה,1740000
4050, פתח תקווה,זאב אורלוב,5,4.0,90,דירה,2250000
4051, חולון,אילת 33,1,4.5,110,דירה,2450000
4052, אילת,עין נטפים,0,4.0,102,דירת גן,2250000
4053, מעלה אדומים,מעלה אדומים,2,4.0,134,דירה,2450000
4054, שלומי,אדמית / יערית,1,5.0,145,דופלקס,1790000
4055, נצרת עילית / נוף הגליל,נצרת עילית / נוף הגליל,0,4.0,308,דירת גן,2490000
4056, עפולה,עורבני,0,4.0,85,דירת גן,1000000
4057, נתניה,"ד""ר סטופ 14",4,3.0,70,דירה,1640000
4058, אשקלון,נווה הדרים,8,5.0,137,דירה,2050000
4059, ראש העין,נחשול 6,4,5.0,142,דירה,3050000
4060, ראשון לציון,רבי יהודה הנשיא 25,2,3.0,105,דירה,2750000
4061, אילת,החורב 6,1,4.5,82,דירה,1280000
4062, ירושלים,השופט חיים כהן 18,5,4.5,111,גג/פנטהאוז,4400000
4063, קרית מלאכי,משה שרת 113,4,3.5,54,דירה,975000
4064, מודיעין עילית,רבי שמעון בר יוחאי 37,3,3.0,130,דירה,1800000
4065, אלעד,רבי יוסי בן קיסמא 5,1,4.0,100,דירה,2280000
4066, קרית גת,הנרייטה סאלד 6,9,5.0,200,גג/פנטהאוז,2900000
4067, חדרה,ז'בוטינסקי 45,1,4.0,200,דירה,2150000
4068, אשקלון,אבא אחימאיר 109,4,4.0,110,דירה,1550000
4069, ירושלים,חיים לסקוב 1,1,4.0,90,דירת גן,2260000
4070, תל אביב יפו,יהודה הנשיא 38,10,3.0,96,דירה,5100000
4071, עכו,בת שבע 8,2,4.0,117,דירה,1590000
4072, חדרה,"חטיבת הנח""ל 14",5,4.0,110,דירה,2180000
4073, חיפה,הצוללת דקר 19,3,6.0,155,דירת גן,2100000
4074, בני ברק,הרב אברהם יצחק הכהן קוק 14,0,2.0,28,יחידת דיור,850000
4075, ירושלים,אבנר חי שאקי 30,4,5.0,147,גג/פנטהאוז,3690000
4076, כוכב יעקב,אהבת ישראל 9,1,3.0,90,דירה,1780000
4078, רמת גן,נגבה,9,3.0,103,גג/פנטהאוז,3400000
4079, ערד,שמעון 7,3,3.5,86,דירה,635000
4080, אשקלון,אורט 16,10,5.0,175,גג/פנטהאוז,2700000
4081, תל אביב יפו,"התקוה, בית יעקב, נווה צה""ל",1,3.5,55,דירה,1700000
4082, רמת גן,הבנים,2,3.0,61,דירה,2320000
4083, חולון,יהושע חנקין,4,4.0,100,דירה,3050000
4085, תל אביב יפו,וינגייט,15,2.0,65,דירה,2650000
4086, תל אביב יפו,דובנוב,0,2.0,50,דירה,3180000
4087, חיפה,הלל 38,0,2.0,50,דירה,750000
4088, אשקלון,ברנע,3,4.0,80,דירה,1365000
4089, תל אביב יפו,יוסף הנשיא,4,2.0,75,גג/פנטהאוז,5900000
4090, ירושלים,קרית מנחם,1,4.5,89,דירה,2660000
4091, רעננה,רעננה,1,4.0,102,דירה,3600000
4092, טירת כרמל,טירת כרמל,1,4.0,100,דירה,1430000
4093, ראש העין,חנה רובינא,4,4.0,100,דירה,2790000
4094, רמת גן,שכונת גפן,8,3.0,80,דירה,2990000
4096, לוד,חטיבת הראל,8,5.0,120,גג/פנטהאוז,1799000
4098, רמת גן,חורגין 2,3,2.0,44,דירה,1900000
4099, ראשון לציון,עולי הגרדום 50,5,4.0,86,דירה,2350000
4100, נתניה,"זלמן שז""ר 16",7,3.0,85,דירה,3000000
4101, נתיבות,אריאל שרון 14,1,4.0,100,דירה,1450000
4102, נשר,השזיף 3,5,4.0,100,דירה,1510005
4103, באר יעקב,שוהם 2,3,5.0,130,דירה,3150000
4104, בית שמש,מרים הנביאה 21,2,5.5,136,דירה,2850000
4105, קרית גת,רחבת גד 3,0,3.0,110,דירת גן,1190000
4106, ירושלים,נתיב המזלות 41,2,3.0,70,דירה,2090000
4107, בני ברק,אבן גבירול 12,1,4.5,100,דירה,2750000
4108, מעלה אדומים,דרך צמח השדה 80,1,4.0,121,דירה,2250000
4109, תל אביב יפו,יאיר 9,1,2.0,36,דירה,2400000
4110, ירושלים,י.ש. ברנדוויין 10,0,5.0,223,דירת גן,3250000
4111, נהריה,הרצל 20,5,6.5,227,גג/פנטהאוז,2900000
4112, זכרון יעקב,הדרים 33,0,5.0,265,דירת גן,3400000
4113, גבעתיים,סירקין 28,7,5.0,197,גג/פנטהאוז,6995000
4114, ירושלים,שדרות הנשיא השישי 18,2,4.0,120,דירה,4000000
4115, ראשון לציון,החוחית 47,5,5.0,130,דופלקס,3250000
4117, פתח תקווה,מחנה יהודה,3,3.5,85,דירה,2070000
4118, גבעת שמואל,גבעת שמואל,1,6.0,370,דירת גן,6290000
4119, נתניה,ברודצקי אשר 24,2,4.0,105,דירה,2400000
4120, בית שמש,דוד רזיאל 13,1,4.0,91,דירה,1770000
4121, חדרה,אדני פז 48,5,5.0,140,דירה,2490000
4122, קרית ביאליק,גיורא,2,2.5,58,דירה,790000
4123, רמת גן,המתמיד,0,2.5,45,דירה,1920000
4124, נתניה,נתניה,3,4.0,120,דירה,2450000
4125, ראשון לציון,"רמב""ם",7,5.0,220,גג/פנטהאוז,3200000
4126, חיפה,דרך אלנבי 123,12,4.0,95,דירה,1500000
4127, תל אביב יפו,שתולים,18,4.0,210,גג/פנטהאוז,5900000
4128, יבנה,הנמל,18,5.0,145,דירה,3690001
4129, ראשון לציון,הלוטם,0,3.0,60,דירה,1890000
4130, חיפה,ששת הימים,5,5.0,139,דירה,2070000
4131, קרית גת,כרמי גת,6,4.5,105,דירה,2125000
4132, ירושלים,ירושלים,0,5.5,140,דירת גן,7600000
4133, חיפה,הגליל,1,5.0,125,דירת גן,2550000
4137, בית שמש,העונות 1,3,3.0,133,דירה,2400000
4138, נהריה,וייצמן 37,2,4.5,186,דופלקס,1680000
4139, נשר,ישורון 1,6,3.0,130,דירה,1550000
4140, מגדל העמק,סמוכה 1,1,3.0,61,דירה,699000
4141, אור עקיבא,הלל 654,2,2.0,48,דירה,960000
4142, מעלה אדומים,הרכס 10,0,4.0,120,דירת גן,3150000
4143, כפר סבא,רחמה ודב וינברג 11,1,4.0,110,דירה,3650000
4144, ירושלים,רבי ישראל נג'ארה 2,9,5.5,127,דירה,5200000
4145, אילת,קאמפן 3,1,4.0,115,דירה,2400000
4146, בני ברק,רבי נחמן מברסלב 10,3,3.0,70,דירה,2870000
4147, אשדוד,אגס 7,2,7.0,205,דופלקס,4600000
4148, בני ברק,הרב נויפלד 11,3,3.5,75,דירה,2150000
4149, נתניה,גבעת חיים 4,1,3.0,77,דירה,1975000
4150, מודיעין מכבים רעות,הנביאים 29,3,4.0,126,דירה,3150000
